name,description,price,category,image_url,colors,model_url,tags
"4 Ring Gyro Fidget","A fast-spinning gyro fidget with 4 rings that provides endless fidgeting fun. Print-in-place design takes less than 25 minutes to print using less than 8 grams of filament.",15.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US246d8dbb7d06e7/design/2024-12-30_41299c70bfee3.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"fidget,gyro,spinner,toy,stress relief"
"OTF Fidget Knife","Out-The-Front fidget knife with smooth OTF action made from just 3 printed parts. Perfect for restless hands with realistic knife mechanics.",24.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US80534f489334d3/design/2024-04-30_f0d1205c91b7b8.gif","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"fidget,knife,otf,toy,double action"
"Twelve-in-One Fidget Toy Set","An exquisite twelve-in-one fidget toy featuring multiple stress-relief mechanisms including buttons, dials, ratchets, levers, joysticks and clickers in one compact design.",39.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US8b212f717bd2ea/design/788575d9-704d-4700-a8b8-0ef63fcf4597.webp","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"fidget,multi-function,stress relief,edc,twelve in one"
"Fidget Switch","A print-in-place button/switch with a loud satisfying click. Fast to print with very pleasant tactile feedback perfect for fidgeting.",12.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/USb0b16ac626a2b8/design/2025-01-27_3e6aa199a1864.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"fidget,switch,button,click,toy"
"Infinity Cube Fidget Toy","A satisfying infinity cube that flips and transforms endlessly. Made from interconnected cubes that provide smooth tactile feedback.",18.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US8a4b935a24f00c/design/2024-04-24_4da063ed5b9ad.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"infinity cube,fidget,stress relief,transforming"
"Stress Ball Fidget","Squeezable stress ball with textured surface for tactile stimulation. Perfect size for pocket carry and desk use.",9.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US55b8dc2b16bb1b/design/2024-05-01_8c9d4e7f2a1b3.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"stress ball,fidget,squeeze,texture"
"Fidget Slider","Smooth sliding mechanism with satisfying click endpoints. Compact design perfect for one-handed operation.",14.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US7f3c8e9a45d12f/design/2024-05-15_9e8f7d6c5b4a2.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"slider,fidget,smooth,click"
"Gear Fidget Spinner","Multi-gear fidget spinner with interlocking gears that create mesmerizing motion patterns.",22.99,Fidget Toys,"https://makerworld.bblmw.com/makerworld/model/US6d2e1f8c93b47a/design/2024-04-20_3f7e9d8c2a1b4.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"gear,spinner,fidget,mechanical"
"DNA Helix Keychain","Beautiful double helix DNA structure keychain with rotating segments. Educational and stylish accessory.",16.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US9c8f7e6d5a4b3c/design/2024-05-10_8d7c6b5a4e3f2.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"dna,helix,keychain,educational,science"
"Maze Cube Keychain","3D printed maze cube keychain with internal ball bearing. Challenge yourself to navigate the maze.",19.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US4e3d2c1b9a8f7e/design/2024-04-25_7c6b5a4d3e2f1.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"maze,cube,keychain,puzzle,challenge"
"Geometric Crystal Keychain","Elegant geometric crystal design with faceted surfaces that catch light beautifully.",13.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US1a9b8c7d6e5f4a/design/2024-05-05_6b5a4c3d2e1f9.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"crystal,geometric,keychain,elegant,faceted"
"Mini Tool Keychain","Functional mini tool keychain with screwdriver tips and hex keys. Practical everyday carry item.",21.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US5f4e3d2c1b9a8f/design/2024-05-12_4c3d2e1f9a8b7c.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"tool,keychain,functional,edc,practical"
"Articulated Dragon Keychain","Fully articulated dragon keychain with moveable joints and detailed scales.",24.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US2b1a9c8d7e6f5a/design/2024-04-30_1f9a8b7c6d5e4f.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"dragon,articulated,keychain,fantasy,moveable"
"Flexi Elephant Keychain","Adorable flexible elephant keychain with segmented body that bends and poses.",17.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US8d7c6b5a4e3f2c/design/2024-05-08_9a8b7c6d5e4f3a.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"elephant,flexible,keychain,cute,poseable"
"Modular Hex Keychain","Modular hexagonal keychain system that connects multiple pieces together.",15.99,Keychains,"https://makerworld.bblmw.com/makerworld/model/US7e6d5c4b3a2f1e/design/2024-05-03_8b7c6d5e4f3a2b.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"modular,hex,keychain,connectable,system"
"Pokemon Trading Card Holder","Protective card holder designed specifically for Pokemon trading cards with snap-fit closure.",11.99,Kit Cards,"https://makerworld.bblmw.com/makerworld/model/US3c2b1a9f8e7d6c/design/2024-05-06_7c6d5e4f3a2b1c.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"pokemon,card holder,trading cards,protective"
"MTG Deck Box","Secure deck box for Magic: The Gathering cards with magnetic closure and dice storage.",28.99,Kit Cards,"https://makerworld.bblmw.com/makerworld/model/US6f5e4d3c2b1a9f/design/2024-04-28_5e4f3a2b1c9d8e.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"mtg,deck box,magic,cards,magnetic closure"
"Card Dividers Set","Complete set of customizable card dividers for organizing trading card collections.",16.99,Kit Cards,"https://makerworld.bblmw.com/makerworld/model/US9f8e7d6c5b4a3f/design/2024-05-01_4f3a2b1c9d8e7f.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"dividers,organization,trading cards,customizable"
"Dice Tower Gaming Set","Collapsible dice tower with rolling tray for tabletop gaming sessions.",32.99,Kit Cards,"https://makerworld.bblmw.com/makerworld/model/US2a1f9e8d7c6b5a/design/2024-05-04_3a2b1c9d8e7f6a.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"dice tower,gaming,tabletop,collapsible,rolling"
"Card Sleeve Dispenser","Automatic card sleeve dispenser for easy access during card organizing sessions.",23.99,Kit Cards,"https://makerworld.bblmw.com/makerworld/model/US5a4f3e2d1c9b8a/design/2024-05-07_2b1c9d8e7f6a5b.jpg","Black,Grey,Blue,White,Orange,Yellow,Purple,Peach,Red",,"dispenser,card sleeves,automatic,organizing"